FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER,BURNOUT_RISK
2,8,1,2,6,4,3,1,3,5,2,8000,5,5,8,7,6,2,1,1,35,1,1
1,9,2,1,5,3,2,0,2,4,1,6000,4,4,9,8,5,1,0,0,42,2,1
3,7,3,3,7,5,4,2,4,6,3,10000,6,6,7,6,7,3,2,2,29,1,1
2,10,1,2,6,4,3,1,3,5,2,8000,5,3,10,9,6,2,1,1,38,2,1
1,8,2,1,5,3,2,0,2,4,1,6000,4,5,8,7,5,1,0,0,45,1,1
3,9,3,3,7,5,4,2,4,6,3,10000,6,4,9,8,7,3,2,2,32,2,1
2,7,1,2,6,4,3,1,3,5,2,8000,5,6,7,6,6,2,1,1,41,1,1
1,10,2,1,5,3,2,0,2,4,1,6000,4,3,10,9,5,1,0,0,39,2,1
3,8,3,3,7,5,4,2,4,6,3,10000,6,5,8,7,7,3,2,2,30,1,1
2,9,1,2,6,4,3,1,3,5,2,8000,5,4,9,8,6,2,1,1,36,2,1
2,8,1,2,6,5,4,1,3,7,2,8,6,5,9,8,7,2,1,2,35,1,1
1,9,2,1,5,4,3,2,2,6,1,6,5,4,8,9,6,1,2,1,40,2,1
3,7,3,3,7,6,5,3,4,8,3,9,7,6,7,6,8,3,0,3,38,1,1
2,8,1,2,6,5,4,1,3,7,2,8,6,5,9,8,7,2,1,2,42,2,1
1,9,2,1,5,4,3,2,2,6,1,6,5,4,8,9,6,1,2,1,45,1,1
3,7,3,3,7,6,5,3,4,8,3,9,7,6,7,6,8,3,0,3,39,2,1
2,8,1,2,6,5,4,1,3,7,2,8,6,5,9,8,7,2,1,2,41,1,1
1,9,2,1,5,4,3,2,2,6,1,6,5,4,8,9,6,1,2,1,46,2,1
3,7,3,3,7,6,5,3,4,8,3,9,7,6,7,6,8,3,0,3,44,1,1
2,8,1,2,6,5,4,1,3,7,2,8,6,5,9,8,7,2,1,2,43,2,1
2,8,1,2,6,5,4,1,3,7,2,8000,6,5,9,8,8,2,1,1,35,1,1
1,9,2,3,7,6,5,2,2,8,1,7000,5,4,8,9,7,1,2,0,40,2,1
3,7,1,2,5,4,3,1,1,6,3,9000,7,6,7,6,9,3,0,2,32,1,1
2,10,3,4,8,7,6,3,4,9,0,6000,4,3,10,10,6,0,1,1,45,2,1
1,8,2,3,6,5,4,2,3,7,2,8000,6,5,9,8,8,2,0,0,38,1,1
3,9,1,2,5,4,3,1,2,6,1,7000,5,4,8,9,7,1,2,2,42,2,1
2,7,3,4,8,7,6,3,1,9,3,9000,7,6,7,6,9,3,0,1,36,1,1
1,10,2,3,7,6,5,2,4,8,0,6000,4,3,10,10,6,0,1,0,48,2,1
3,8,1,2,5,4,3,1,3,6,2,8000,6,5,9,8,8,2,0,2,34,1,1
2,9,3,4,8,7,6,3,2,9,1,7000,5,4,8,9,7,1,2,1,44,2,1
2,8,1,2,6,4,5,1,3,7,2,5000,6,5,8,7,8,2,1,1,35,1,1
1,9,2,1,5,3,4,0,2,6,1,3000,5,4,9,8,7,1,0,0,28,2,1
3,7,3,3,7,5,6,2,4,8,3,7000,7,6,7,6,9,3,2,2,42,1,1
2,8,1,2,6,4,5,1,3,7,2,5000,6,5,8,7,8,2,1,1,38,2,1
